run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778424061,195,-0.072167,5.7733,0.0950,0.001,0.99,0.005357
run_1778424061,196,-0.061958,4.9567,0.0938,0.001,0.99,0.005097
run_1778424061,197,-0.082333,6.5867,0.0927,0.001,0.99,0.004929
run_1778424061,198,-0.068667,5.4933,0.0916,0.001,0.99,0.005123
run_1778424061,199,-0.061167,4.8933,0.0905,0.001,0.99,0.004654
run_1778424061,200,-0.081625,6.5300,0.0894,0.001,0.99,0.004947
run_1778424061,201,-0.069792,5.5833,0.0883,0.001,0.99,0.005844
run_1778424061,202,-0.073000,5.8400,0.0873,0.001,0.99,0.005566
run_1778424061,203,-0.063333,5.0667,0.0862,0.001,0.99,0.005826
run_1778424061,204,-0.072208,5.7767,0.0852,0.001,0.99,0.005369
run_1778424061,205,-0.072833,5.8267,0.0842,0.001,0.99,0.005345
run_1778424061,206,-0.081625,6.5300,0.0832,0.001,0.99,0.005147
run_1778424061,207,-0.061167,4.8933,0.0822,0.001,0.99,0.004896
run_1778424061,208,-0.076375,6.1100,0.0812,0.001,0.99,0.005922
run_1778424061,209,-0.073375,5.8700,0.0802,0.001,0.99,0.004975
run_1778424061,210,-0.073458,5.8767,0.0792,0.001,0.99,0.004932
run_1778424061,211,-0.080667,6.4533,0.0783,0.001,0.99,0.005271
run_1778424061,212,-0.072250,5.7800,0.0774,0.001,0.99,0.006036
run_1778424061,213,-0.073708,5.8967,0.0764,0.001,0.99,0.004859
run_1778424061,214,-0.072542,5.8033,0.0755,0.001,0.99,0.004857
run_1778424061,215,-0.068833,5.5067,0.0746,0.001,0.99,0.005260
run_1778424061,216,-0.066375,5.3100,0.0737,0.001,0.99,0.005914
run_1778424061,217,-0.081292,6.5033,0.0728,0.001,0.99,0.005287
run_1778424061,218,-0.064542,5.1633,0.0719,0.001,0.99,0.005575
run_1778424061,219,-0.078292,6.2633,0.0711,0.001,0.99,0.005596
run_1778424061,220,-0.074167,5.9333,0.0702,0.001,0.99,0.005658
run_1778424061,221,-0.066417,5.3133,0.0694,0.001,0.99,0.005924
run_1778424061,222,-0.057542,4.6033,0.0686,0.001,0.99,0.006145
run_1778424061,223,-0.072708,5.8167,0.0677,0.001,0.99,0.005341
run_1778424061,224,-0.070083,5.6067,0.0669,0.001,0.99,0.005672
run_1778424061,225,-0.074083,5.9267,0.0661,0.001,0.99,0.005557
run_1778424061,226,-0.068250,5.4600,0.0653,0.001,0.99,0.006168
run_1778424061,227,-0.070375,5.6300,0.0645,0.001,0.99,0.005880
run_1778424061,228,-0.078500,6.2800,0.0638,0.001,0.99,0.005388
run_1778424061,229,-0.070542,5.6433,0.0630,0.001,0.99,0.006052
run_1778424061,230,-0.073583,5.8867,0.0622,0.001,0.99,0.005517
run_1778424061,231,-0.068500,5.4800,0.0615,0.001,0.99,0.006245
run_1778424061,232,-0.068875,5.5100,0.0608,0.001,0.99,0.006495
run_1778424061,233,-0.074583,5.9667,0.0600,0.001,0.99,0.005899
run_1778424061,234,-0.068542,5.4833,0.0593,0.001,0.99,0.006168
run_1778424061,235,-0.073083,5.8467,0.0586,0.001,0.99,0.005890
run_1778424061,236,-0.074750,5.9800,0.0579,0.001,0.99,0.005845
run_1778424061,237,-0.072708,5.8167,0.0572,0.001,0.99,0.006276
run_1778424061,238,-0.072750,5.8200,0.0565,0.001,0.99,0.005490
run_1778424061,239,-0.065958,5.2767,0.0558,0.001,0.99,0.006079
run_1778424061,240,-0.081250,6.5000,0.0552,0.001,0.99,0.005833
run_1778424061,241,-0.070208,5.6167,0.0545,0.001,0.99,0.006439
run_1778424061,242,-0.084250,6.7400,0.0538,0.001,0.99,0.006438
run_1778424061,243,-0.069875,5.5900,0.0532,0.001,0.99,0.006666
run_1778424061,244,-0.081792,6.5433,0.0526,0.001,0.99,0.005760
run_1778424061,245,-0.069625,5.5700,0.0519,0.001,0.99,0.006255
run_1778424061,246,-0.067750,5.4200,0.0513,0.001,0.99,0.005846
run_1778424061,247,-0.069375,5.5500,0.0507,0.001,0.99,0.006156
run_1778424061,248,-0.070042,5.6033,0.0501,0.001,0.99,0.007142
run_1778424061,249,-0.085792,6.8633,0.0500,0.001,0.99,0.007338
run_1778424061,250,-0.060750,4.8600,0.0500,0.001,0.99,0.006096
run_1778424061,251,-0.078208,6.2567,0.0500,0.001,0.99,0.007471
run_1778424061,252,-0.072250,5.7800,0.0500,0.001,0.99,0.007241
run_1778424061,253,-0.070958,5.6767,0.0500,0.001,0.99,0.007463
run_1778424061,254,-0.074333,5.9467,0.0500,0.001,0.99,0.006876
run_1778424061,255,-0.081250,6.5000,0.0500,0.001,0.99,0.006642
run_1778424061,256,-0.071667,5.7333,0.0500,0.001,0.99,0.007240
run_1778424061,257,-0.062500,5.0000,0.0500,0.001,0.99,0.007099
run_1778424061,258,-0.062042,4.9633,0.0500,0.001,0.99,0.007156
run_1778424061,259,-0.078667,6.2933,0.0500,0.001,0.99,0.006472
run_1778424061,260,-0.077542,6.2033,0.0500,0.001,0.99,0.006589
run_1778424061,261,-0.074458,5.9567,0.0500,0.001,0.99,0.007005
run_1778424061,262,-0.080000,6.4000,0.0500,0.001,0.99,0.007449
run_1778424061,263,-0.068292,5.4633,0.0500,0.001,0.99,0.006953
run_1778424061,264,-0.067250,5.3800,0.0500,0.001,0.99,0.006852
run_1778424061,265,-0.073542,5.8833,0.0500,0.001,0.99,0.007108
run_1778424061,266,-0.078458,6.2767,0.0500,0.001,0.99,0.007547
run_1778424061,267,-0.066792,5.3433,0.0500,0.001,0.99,0.006646
run_1778424061,268,-0.074542,5.9633,0.0500,0.001,0.99,0.006713
run_1778424061,269,-0.068875,5.5100,0.0500,0.001,0.99,0.007480
run_1778424061,270,-0.072125,5.7700,0.0500,0.001,0.99,0.007097
run_1778424061,271,-0.061708,4.9367,0.0500,0.001,0.99,0.008503
run_1778424061,272,-0.074417,5.9533,0.0500,0.001,0.99,0.006984
run_1778424061,273,-0.070625,5.6500,0.0500,0.001,0.99,0.006796
run_1778424061,274,-0.076292,6.1033,0.0500,0.001,0.99,0.008777
run_1778424061,275,-0.070750,5.6600,0.0500,0.001,0.99,0.007473
run_1778424061,276,-0.075833,6.0667,0.0500,0.001,0.99,0.007470
run_1778424061,277,-0.070625,5.6500,0.0500,0.001,0.99,0.007793
run_1778424061,278,-0.078208,6.2567,0.0500,0.001,0.99,0.007824
run_1778424061,279,-0.074292,5.9433,0.0500,0.001,0.99,0.006732
run_1778424061,280,-0.068708,5.4967,0.0500,0.001,0.99,0.007783
run_1778424061,281,-0.075875,6.0700,0.0500,0.001,0.99,0.007547
run_1778424061,282,-0.073083,5.8467,0.0500,0.001,0.99,0.007893
run_1778424061,283,-0.074458,5.9567,0.0500,0.001,0.99,0.007323
run_1778424061,284,-0.070542,5.6433,0.0500,0.001,0.99,0.008496
run_1778424061,285,-0.071583,5.7267,0.0500,0.001,0.99,0.007549
run_1778424061,286,-0.070167,5.6133,0.0500,0.001,0.99,0.007697
run_1778424061,287,-0.066917,5.3533,0.0500,0.001,0.99,0.008045
run_1778424061,288,-0.067792,5.4233,0.0500,0.001,0.99,0.008713
run_1778424061,289,-0.073542,5.8833,0.0500,0.001,0.99,0.007829
