run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
dqn_v1_baseline,238,-0.064708,5.1767,0.0565,0.001,0.99,0.006894
dqn_v1_baseline,239,-0.067292,5.3833,0.0558,0.001,0.99,0.007088
dqn_v1_baseline,240,-0.070000,5.6000,0.0552,0.001,0.99,0.006773
dqn_v1_baseline,241,-0.067625,5.4100,0.0545,0.001,0.99,0.007174
dqn_v1_baseline,242,-0.071083,5.6867,0.0538,0.001,0.99,0.006864
dqn_v1_baseline,243,-0.068667,5.4933,0.0532,0.001,0.99,0.006560
dqn_v1_baseline,244,-0.068458,5.4767,0.0526,0.001,0.99,0.006724
dqn_v1_baseline,245,-0.071500,5.7200,0.0519,0.001,0.99,0.007312
dqn_v1_baseline,246,-0.067792,5.4233,0.0513,0.001,0.99,0.007624
dqn_v1_baseline,247,-0.073000,5.8400,0.0507,0.001,0.99,0.006589
dqn_v1_baseline,248,-0.075917,6.0733,0.0501,0.001,0.99,0.007272
dqn_v1_baseline,249,-0.076167,6.0933,0.0500,0.001,0.99,0.006672
dqn_v1_baseline,250,-0.065125,5.2100,0.0500,0.001,0.99,0.007019
dqn_v1_baseline,251,-0.072500,5.8000,0.0500,0.001,0.99,0.007631
dqn_v1_baseline,252,-0.074125,5.9300,0.0500,0.001,0.99,0.007683
dqn_v1_baseline,253,-0.070542,5.6433,0.0500,0.001,0.99,0.007353
dqn_v1_baseline,254,-0.066375,5.3100,0.0500,0.001,0.99,0.007358
dqn_v1_baseline,255,-0.076042,6.0833,0.0500,0.001,0.99,0.007593
dqn_v1_baseline,256,-0.069375,5.5500,0.0500,0.001,0.99,0.006762
dqn_v1_baseline,257,-0.072292,5.7833,0.0500,0.001,0.99,0.007816
dqn_v1_baseline,258,-0.081167,6.4933,0.0500,0.001,0.99,0.007625
dqn_v1_baseline,259,-0.079750,6.3800,0.0500,0.001,0.99,0.008076
dqn_v1_baseline,260,-0.061917,4.9533,0.0500,0.001,0.99,0.008426
dqn_v1_baseline,261,-0.057667,4.6133,0.0500,0.001,0.99,0.007988
dqn_v1_baseline,262,-0.077292,6.1833,0.0500,0.001,0.99,0.007705
dqn_v1_baseline,263,-0.071333,5.7067,0.0500,0.001,0.99,0.007685
dqn_v1_baseline,264,-0.069875,5.5900,0.0500,0.001,0.99,0.007602
dqn_v1_baseline,265,-0.069208,5.5367,0.0500,0.001,0.99,0.007283
dqn_v1_baseline,266,-0.077625,6.2100,0.0500,0.001,0.99,0.007896
dqn_v1_baseline,267,-0.069250,5.5400,0.0500,0.001,0.99,0.007235
dqn_v1_baseline,268,-0.069458,5.5567,0.0500,0.001,0.99,0.007457
dqn_v1_baseline,269,-0.075000,6.0000,0.0500,0.001,0.99,0.007697
dqn_v1_baseline,270,-0.082375,6.5900,0.0500,0.001,0.99,0.007307
dqn_v1_baseline,271,-0.075708,6.0567,0.0500,0.001,0.99,0.008292
dqn_v1_baseline,272,-0.067792,5.4233,0.0500,0.001,0.99,0.007522
dqn_v1_baseline,273,-0.068458,5.4767,0.0500,0.001,0.99,0.008247
dqn_v1_baseline,274,-0.080208,6.4167,0.0500,0.001,0.99,0.008263
dqn_v1_baseline,275,-0.066292,5.3033,0.0500,0.001,0.99,0.007715
dqn_v1_baseline,276,-0.066833,5.3467,0.0500,0.001,0.99,0.007202
dqn_v1_baseline,277,-0.067250,5.3800,0.0500,0.001,0.99,0.007219
dqn_v1_baseline,278,-0.075042,6.0033,0.0500,0.001,0.99,0.008696
dqn_v1_baseline,279,-0.064958,5.1967,0.0500,0.001,0.99,0.007955
dqn_v1_baseline,280,-0.067875,5.4300,0.0500,0.001,0.99,0.007339
dqn_v1_baseline,281,-0.065500,5.2400,0.0500,0.001,0.99,0.008109
dqn_v1_baseline,282,-0.070792,5.6633,0.0500,0.001,0.99,0.008434
dqn_v1_baseline,283,-0.063167,5.0533,0.0500,0.001,0.99,0.007778
dqn_v1_baseline,284,-0.064667,5.1733,0.0500,0.001,0.99,0.008114
dqn_v1_baseline,285,-0.064875,5.1900,0.0500,0.001,0.99,0.008396
dqn_v1_baseline,286,-0.071167,5.6933,0.0500,0.001,0.99,0.009173
dqn_v1_baseline,287,-0.069208,5.5367,0.0500,0.001,0.99,0.009461
dqn_v1_baseline,288,-0.079667,6.3733,0.0500,0.001,0.99,0.007162
dqn_v1_baseline,289,-0.068208,5.4567,0.0500,0.001,0.99,0.009344
dqn_v1_baseline,290,-0.071417,5.7133,0.0500,0.001,0.99,0.008263
dqn_v1_baseline,291,-0.072167,5.7733,0.0500,0.001,0.99,0.009711
dqn_v1_baseline,292,-0.080667,6.4533,0.0500,0.001,0.99,0.008509
dqn_v1_baseline,293,-0.076125,6.0900,0.0500,0.001,0.99,0.008909
